date,open,close,high,low,volume,volume
2022-05-18,18.49,19.07,19.6,18.49,40363.0,40363.0
2022-05-19,18.65,18.7,19.0,18.33,23241.0,23241.0
2022-05-20,18.7,18.72,18.78,18.48,18453.0,18453.0
2022-05-23,18.7,19.13,19.18,18.69,23060.0,23060.0
2022-05-24,19.1,18.08,19.18,18.07,24662.0,24662.0
2022-05-25,18.0,18.41,18.54,18.0,16611.0,16611.0
2022-05-26,18.75,18.33,18.79,18.1,12857.0,12857.0
2022-05-27,18.34,18.28,18.59,18.17,14539.0,14539.0
2022-05-30,18.3,18.51,18.65,18.14,17737.0,17737.0
2022-05-31,18.48,18.67,18.73,18.27,12935.0,12935.0
2022-06-01,18.62,19.57,19.97,18.62,41498.0,41498.0
2022-06-02,19.55,19.64,19.65,19.15,20472.0,20472.0
2022-06-06,19.74,19.93,20.35,19.65,31779.0,31779.0
2022-06-07,19.8,19.69,20.03,19.55,20317.0,20317.0
2022-06-08,19.7,19.48,20.09,19.25,24385.0,24385.0
2022-06-09,19.39,19.07,19.5,19.01,14937.0,14937.0
2022-06-10,19.06,19.17,19.28,18.84,18711.0,18711.0
2022-06-13,19.08,19.19,19.23,18.83,26498.0,26498.0
2022-06-14,18.89,18.8,19.0,18.24,25983.0,25983.0
2022-06-15,18.81,19.05,19.48,18.81,31263.0,31263.0
2022-06-16,19.09,19.11,19.38,19.06,24978.0,24978.0
2022-06-17,19.09,19.07,19.36,18.97,23464.0,23464.0
2022-06-20,19.01,19.32,19.46,18.97,24721.0,24721.0
2022-06-21,19.46,19.39,19.58,19.17,18710.0,18710.0
2022-06-22,19.37,18.89,19.49,18.84,21573.0,21573.0
2022-06-23,19.0,19.25,19.28,18.71,21180.0,21180.0
2022-06-24,19.45,21.18,21.18,19.37,54500.0,54500.0
2022-06-27,21.3,20.5,21.5,20.2,91471.0,91471.0
2022-06-28,20.51,20.61,20.71,20.08,49066.0,49066.0
2022-06-29,20.5,20.1,20.98,20.1,47014.0,47014.0
2022-06-30,20.0,20.3,20.38,19.98,30145.0,30145.0
2022-07-01,20.2,19.95,20.42,19.86,24312.0,24312.0
2022-07-04,20.03,20.23,20.66,20.03,28301.0,28301.0
2022-07-05,20.0,19.67,20.14,19.49,30716.0,30716.0
2022-07-06,19.51,19.6,19.94,19.44,20650.0,20650.0
2022-07-07,19.88,19.7,20.48,19.63,33191.0,33191.0
2022-07-08,19.7,19.8,20.28,19.57,27713.0,27713.0
2022-07-11,19.69,19.43,19.85,19.19,21105.0,21105.0
2022-07-12,19.3,18.88,19.4,18.87,18271.0,18271.0
2022-07-13,18.87,19.01,19.14,18.78,12514.0,12514.0
2022-07-14,18.55,18.8,19.05,17.8,35777.0,35777.0
2022-07-15,18.65,18.59,18.97,18.27,18900.0,18900.0
2022-07-18,18.61,18.76,18.89,18.41,13175.0,13175.0
2022-07-19,18.93,19.41,19.48,18.71,18867.0,18867.0
2022-07-20,19.45,19.29,19.5,19.15,17586.0,17586.0
2022-07-21,19.16,19.16,19.54,19.05,18641.0,18641.0
2022-07-22,19.01,18.98,19.26,18.76,14307.0,14307.0
2022-07-25,19.3,18.91,19.6,18.84,11166.0,11166.0
2022-07-26,18.88,19.15,19.39,18.81,13011.0,13011.0
2022-07-27,19.34,19.52,19.65,19.1,22081.0,22081.0
2022-07-28,19.45,19.41,19.68,19.4,15531.0,15531.0
2022-07-29,19.41,19.28,19.57,19.19,13504.0,13504.0
2022-08-01,19.23,19.36,19.57,19.1,12563.0,12563.0
2022-08-02,19.28,18.46,19.28,18.23,20785.0,20785.0
2022-08-03,18.45,18.47,18.92,18.42,14598.0,14598.0
2022-08-04,18.66,18.64,18.76,18.4,9638.0,9638.0
2022-08-05,18.8,19.67,19.69,18.75,29214.0,29214.0
2022-08-08,19.7,20.18,20.24,19.45,27973.0,27973.0
2022-08-09,20.09,19.99,20.21,19.66,18823.0,18823.0
2022-08-10,19.9,20.1,20.36,19.75,21317.0,21317.0
2022-08-11,20.3,20.12,20.3,19.98,18585.0,18585.0
2022-08-12,20.17,20.29,20.54,19.85,30628.0,30628.0
2022-08-15,20.09,19.95,20.29,19.9,25335.0,25335.0
2022-08-16,20.0,20.22,20.6,19.87,29254.0,29254.0
2022-08-17,20.21,20.17,20.53,20.01,14807.0,14807.0
2022-08-18,21.3,22.19,22.19,21.15,83703.0,83703.0
2022-08-19,21.51,23.48,24.41,21.5,209896.0,209896.0
2022-08-22,23.48,24.69,25.2,23.24,177288.0,177288.0
2022-08-23,24.66,26.1,26.63,24.24,152826.0,152826.0
2022-08-24,25.74,25.3,26.17,25.01,90202.0,90202.0
2022-08-25,25.35,25.22,26.22,23.51,88255.0,88255.0
2022-08-26,24.8,24.24,25.3,24.0,78689.0,78689.0
2022-08-29,23.94,24.28,24.44,23.53,34675.0,34675.0
2022-08-30,24.18,23.8,25.18,23.66,45677.0,45677.0
2022-08-31,23.83,22.44,23.83,22.23,68736.0,68736.0
2022-09-01,22.43,22.75,23.1,22.1,27112.0,27112.0
2022-09-02,22.75,24.4,24.95,22.39,55965.0,55965.0
2022-09-05,24.3,23.78,24.79,23.3,30300.0,30300.0
2022-09-06,23.77,23.42,24.19,23.22,25522.0,25522.0
2022-09-07,23.8,22.49,24.05,22.2,52194.0,52194.0
2022-09-08,22.38,21.3,22.38,20.55,74116.0,74116.0
2022-09-09,21.29,21.64,21.89,20.8,47679.0,47679.0
2022-09-13,21.6,21.6,22.4,21.45,30790.0,30790.0
2022-09-14,21.24,22.06,22.22,21.07,27131.0,27131.0
2022-09-15,22.08,21.5,22.4,21.3,26097.0,26097.0
2022-09-16,21.51,23.65,23.65,21.38,61351.0,61351.0
2022-09-19,24.12,22.89,24.6,22.51,115217.0,115217.0
2022-09-20,22.51,22.97,22.97,21.6,75332.0,75332.0
2022-09-21,22.36,22.25,22.9,21.86,60089.0,60089.0
2022-09-22,21.89,24.48,24.48,21.89,47255.0,47255.0
2022-09-23,24.95,23.58,25.88,23.48,138577.0,138577.0
2022-09-26,23.68,23.57,24.06,23.29,68261.0,68261.0
2022-09-27,23.65,24.2,24.23,23.05,67407.0,67407.0
2022-09-28,23.65,23.42,24.2,22.4,60905.0,60905.0
2022-09-29,23.42,23.86,25.0,23.34,60782.0,60782.0
2022-09-30,23.15,24.02,25.88,22.51,83463.0,83463.0
2022-10-10,24.07,25.56,26.42,23.9,120232.0,120232.0
2022-10-11,25.1,26.72,28.12,24.96,190470.0,190470.0
2022-10-12,25.88,26.26,26.58,24.05,188122.0,188122.0
2022-10-13,25.5,26.93,28.49,25.1,175377.0,175377.0
2022-10-14,26.08,26.6,26.8,25.5,127029.0,127029.0
2022-10-17,26.66,26.88,27.89,26.11,120360.0,120360.0
2022-10-18,26.56,26.02,26.57,25.71,93671.0,93671.0
2022-10-19,25.55,25.1,25.64,24.01,89679.0,89679.0
2022-10-20,24.6,27.61,27.61,24.6,122202.0,122202.0
2022-10-21,27.92,26.6,27.92,25.9,150954.0,150954.0
2022-10-24,26.46,27.7,29.26,26.3,135709.0,135709.0
2022-10-25,27.0,27.82,28.26,26.36,80591.0,80591.0
2022-10-26,27.37,28.69,30.1,27.05,114907.0,114907.0
2022-10-27,28.08,29.7,30.6,28.08,144075.0,144075.0
2022-10-28,28.44,30.29,31.73,28.4,126874.0,126874.0
2022-10-31,30.55,33.32,33.32,30.4,79948.0,79948.0
2022-11-01,35.0,33.12,36.65,32.19,203509.0,203509.0
2022-11-02,32.99,33.84,34.26,31.48,155428.0,155428.0
2022-11-03,32.57,30.46,32.58,30.46,125031.0,125031.0
2022-11-04,30.06,30.91,31.48,29.68,60085.0,60085.0
2022-11-07,30.82,30.28,32.3,29.7,65958.0,65958.0
2022-11-08,30.31,33.31,33.31,29.5,114929.0,114929.0
2022-11-09,33.3,34.25,36.4,32.1,108537.0,108537.0
2022-11-10,33.4,35.01,36.33,33.01,108366.0,108366.0
2022-11-11,34.69,33.3,35.97,32.02,79632.0,79632.0
2022-11-14,32.53,34.2,34.2,32.3,53155.0,53155.0
2022-11-15,34.0,36.34,37.62,33.7,109850.0,109850.0
2022-11-16,34.75,34.67,36.36,33.48,93979.0,93979.0
2022-11-17,34.1,38.14,38.14,33.61,93267.0,93267.0
2022-11-18,38.14,39.1,41.8,38.0,126975.0,126975.0
2022-11-21,38.88,43.01,43.01,38.4,88208.0,88208.0
2022-11-22,43.5,40.76,44.3,39.54,105039.0,105039.0
2022-11-23,40.14,39.9,40.76,38.27,70226.0,70226.0
2022-11-24,38.5,38.81,39.77,38.25,55677.0,55677.0
2022-11-25,38.9,36.85,39.44,36.26,63590.0,63590.0
2022-11-28,35.5,37.12,38.19,35.4,63492.0,63492.0
2022-11-29,36.2,37.9,38.8,35.91,59130.0,59130.0
2022-11-30,37.9,35.8,37.99,35.51,64999.0,64999.0
2022-12-01,35.5,39.38,39.38,35.46,72341.0,72341.0
2022-12-02,38.9,39.29,41.1,38.88,89671.0,89671.0
