date,open,close,high,low,volume
2024-08-27,35.91768535,35.68171745,36.49075025,35.0917977,1947795.0
2024-08-28,35.3277656,35.6311529,36.01881445,35.3277656,1303651.0
2024-08-29,35.4626044,35.7997014,35.8671208,35.1592171,1449600.0
2024-08-30,21.05,21.51,21.88,20.96,17630.0
2024-09-02,21.47,21.28,21.53,20.75,23948.0
2024-09-03,21.28,21.43,21.68,21.02,21085.0
2024-09-04,21.3,21.29,21.59,21.13,12070.0
2024-09-05,21.37,21.98,22.02,21.35,15973.0
2024-09-06,22.0,21.83,22.12,21.7,11540.0
2024-09-09,21.86,22.65,22.72,21.73,26005.0
2024-09-10,22.63,22.75,22.8,22.2,22632.0
2024-09-11,22.6,23.36,23.65,22.51,35228.0
2024-09-12,23.38,23.4,24.01,23.22,36883.0
2024-09-13,23.4,23.26,23.69,23.04,45223.0
2024-09-18,23.2,23.99,24.16,23.15,32695.0
2024-09-19,24.0,24.44,24.47,23.89,31337.0
2024-09-20,24.28,24.6,25.04,24.09,41418.0
2024-09-23,24.6,25.28,25.34,24.34,36855.0
2024-09-24,25.44,25.42,25.6,24.72,34425.0
2024-09-25,25.5,25.71,25.93,25.48,26510.0
2024-09-26,25.58,26.14,26.29,25.36,45624.0
2024-09-27,26.28,26.32,26.5,25.75,29510.0
2024-09-30,26.82,27.59,28.0,26.54,117896.0
2024-10-08,29.81,26.94,30.34,26.4,120819.0
2024-10-09,25.94,24.25,26.13,24.25,106891.0
2024-10-10,24.09,23.73,24.62,22.99,95970.0
2024-10-11,23.75,23.78,24.22,23.45,74554.0
2024-10-14,24.3,24.23,24.61,23.61,65825.0
2024-10-15,24.23,23.26,24.23,23.25,66851.0
2024-10-16,23.25,23.91,24.1,23.24,50751.0
2024-10-17,23.91,23.14,23.97,23.13,45133.0
2024-10-18,23.14,23.45,23.83,22.76,48601.0
2024-10-21,23.45,23.18,23.54,22.76,39549.0
2024-10-22,23.19,23.03,23.26,22.85,40031.0
2024-10-23,23.06,23.26,23.45,22.96,39289.0
2024-10-24,23.2,23.5,23.73,23.04,37035.0
2024-10-25,23.51,23.48,23.72,23.36,32394.0
2024-10-28,23.5,23.65,23.8,23.17,44444.0
2024-10-29,23.68,23.49,24.0,23.42,43007.0
2024-10-30,23.49,23.26,23.72,23.16,44021.0
2024-10-31,23.26,22.92,23.43,22.7,51028.0
2024-11-01,22.95,22.7,23.07,22.67,48799.0
2024-11-04,22.9,22.82,23.29,22.61,46197.0
2024-11-05,22.92,23.12,23.17,22.7,38370.0
2024-11-06,23.13,22.92,23.27,22.72,48200.0
