date,open,close,high,low,volume,volume.1
2022-05-17,7.8,7.92,7.95,7.47,655470.0,655470.0
2022-05-18,7.78,7.64,7.78,7.62,482636.0,482636.0
2022-05-19,7.45,7.59,7.7,7.38,329159.0,329159.0
2022-05-20,7.59,7.72,7.84,7.58,435184.0,435184.0
2022-05-23,7.66,8.04,8.07,7.65,680502.0,680502.0
2022-05-24,7.92,7.46,7.98,7.43,592287.0,592287.0
2022-05-25,7.46,7.65,7.74,7.45,338189.0,338189.0
2022-05-26,7.63,7.56,7.66,7.24,411956.0,411956.0
2022-05-27,7.56,7.86,7.88,7.49,614195.0,614195.0
2022-05-30,7.86,7.8,7.91,7.63,421831.0,421831.0
2022-05-31,7.8,7.93,7.95,7.73,513024.0,513024.0
2022-06-01,7.88,7.92,8.18,7.79,566066.0,566066.0
2022-06-02,7.84,7.77,7.86,7.68,370258.0,370258.0
2022-06-06,7.71,7.97,7.97,7.71,430127.0,430127.0
2022-06-07,7.97,7.94,8.28,7.74,613333.0,613333.0
2022-06-08,7.93,8.35,8.43,7.73,888592.0,888592.0
2022-06-09,8.2,8.68,8.97,8.12,1114733.0,1114733.0
2022-06-10,8.51,8.66,8.94,8.41,815829.0,815829.0
2022-06-13,8.6,8.71,8.94,8.5,710863.0,710863.0
2022-06-14,8.51,8.49,8.67,8.2,624823.0,624823.0
2022-06-15,8.43,8.11,8.45,8.08,601874.0,601874.0
2022-06-16,8.05,8.14,8.19,8.01,335317.0,335317.0
2022-06-17,8.04,8.11,8.16,7.97,304993.0,304993.0
2022-06-20,8.1,7.7,8.1,7.69,489053.0,489053.0
2022-06-21,7.66,7.52,7.73,7.41,339581.0,339581.0
2022-06-22,7.55,7.42,7.63,7.41,245665.0,245665.0
2022-06-23,7.36,7.48,7.49,7.17,292572.0,292572.0
2022-06-24,7.43,7.6,7.63,7.38,302776.0,302776.0
2022-06-27,7.6,7.61,7.72,7.52,224718.0,224718.0
2022-06-28,7.63,7.69,7.75,7.61,255297.0,255297.0
2022-06-29,7.64,7.4,7.66,7.4,283397.0,283397.0
2022-06-30,7.39,7.4,7.52,7.39,169207.0,169207.0
2022-07-01,7.4,7.65,7.7,7.37,326978.0,326978.0
2022-07-04,7.75,7.85,7.87,7.68,422297.0,422297.0
2022-07-05,7.86,8.64,8.64,7.7,632379.0,632379.0
2022-07-06,8.99,8.62,9.2,8.5,1451658.0,1451658.0
2022-07-07,8.55,8.52,8.88,8.28,846659.0,846659.0
2022-07-08,8.5,8.11,8.52,8.09,674831.0,674831.0
2022-07-11,8.14,8.23,8.25,7.92,477600.0,477600.0
2022-07-12,8.11,7.81,8.15,7.81,413034.0,413034.0
2022-07-13,7.9,8.02,8.03,7.76,288245.0,288245.0
2022-07-14,8.0,7.92,8.0,7.85,216481.0,216481.0
2022-07-15,7.9,7.87,8.08,7.82,275532.0,275532.0
2022-07-18,7.8,8.02,8.03,7.7,250720.0,250720.0
2022-07-19,8.02,8.2,8.28,7.97,402858.0,402858.0
2022-07-20,8.14,8.18,8.19,8.03,299305.0,299305.0
2022-07-21,8.14,7.86,8.14,7.85,305968.0,305968.0
2022-07-22,7.86,7.77,7.94,7.67,213786.0,213786.0
2022-07-25,7.77,7.58,7.8,7.57,163103.0,163103.0
2022-07-26,7.57,7.71,7.72,7.47,141656.0,141656.0
2022-07-27,7.69,7.62,7.7,7.6,124681.0,124681.0
2022-07-28,7.66,7.67,7.77,7.65,147920.0,147920.0
2022-07-29,7.68,7.57,7.71,7.57,124351.0,124351.0
2022-08-01,7.52,7.64,7.66,7.48,104152.0,104152.0
2022-08-02,7.54,7.12,7.54,7.02,235197.0,235197.0
2022-08-03,7.11,6.96,7.3,6.95,152944.0,152944.0
2022-08-04,6.96,7.16,7.2,6.91,136319.0,136319.0
2022-08-05,7.15,7.17,7.19,7.02,120376.0,120376.0
2022-08-08,7.13,7.23,7.24,7.1,99347.0,99347.0
2022-08-09,7.21,7.28,7.31,7.16,109902.0,109902.0
2022-08-10,7.28,7.18,7.3,7.14,109561.0,109561.0
2022-08-11,7.18,7.29,7.33,7.17,135912.0,135912.0
2022-08-12,7.27,7.37,7.47,7.24,158039.0,158039.0
2022-08-15,7.33,7.45,7.46,7.32,139614.0,139614.0
2022-08-16,7.42,7.37,7.49,7.34,122651.0,122651.0
2022-08-17,7.36,7.3,7.4,7.25,114050.0,114050.0
2022-08-18,7.3,7.25,7.3,7.17,114951.0,114951.0
2022-08-19,7.27,7.16,7.29,7.15,105503.0,105503.0
2022-08-22,7.18,7.73,7.78,7.17,513357.0,513357.0
2022-08-23,7.7,7.67,7.71,7.5,283970.0,283970.0
2022-08-24,7.67,7.49,7.75,7.46,264623.0,264623.0
2022-08-25,7.55,7.53,7.59,7.26,195274.0,195274.0
2022-08-26,7.51,7.56,7.75,7.45,237044.0,237044.0
2022-08-29,7.37,7.61,7.61,7.31,161931.0,161931.0
